"","Pair","Clade","Sequence_id","Aln_len_bases","Num_loci_used"
"1",1,"Helicopsychidae","Trichoptera_Helicopsychidae_Helicopsyche_borealis",921009,1570
"2",1,"Leptoceridae","Trichoptera_Leptoceridae_Leptocerinae_Nectopsyche_candida",921009,1570
"3",1,"Outgroup","Trichoptera_Phryganeidae_Phryganeinae_Ptilostomis_semifasciata",921009,1570
"4",2,"Stenopsychidae","Trichoptera_Stenopsychidae_Stenopsychodes_sp",729312,1383
"5",2,"Philopotamidae","Trichoptera_Philopotamidae_Philopotaminae_Philopotamus",729312,1383
"6",2,"Outgroup","Trichoptera_Psychomyiidae_Psychomyiinae_Psychomyia_flavida",729312,1383
"7",3,"Polycentropodidae","Trichoptera_Polycentropodidae_Polycentropodinae_Plectrocnemia_sp",833106,1492
"8",3,"Psychomyiidae","Trichoptera_Psychomyiidae_Psychomyiinae_Psychomyia_flavida",833106,1492
"9",3,"Outgroup","Trichoptera_Stenopsychidae_Stenopsychodes_sp",833106,1492
"10",4,"Acanthopteroctetidae","Neopseustoidea_Acanthopteroctetidae_Acanthopteroctetes_unifascia_Aca4",226482,803
"11",4,"Neopseustidae","Neopseustoidea_Neopseustidae_Neopseustinae_Neopseustis_meyricki_RINSinlTEERAAPEI__79",226482,803
"12",4,"Outgroup","Eriocranioidea_Eriocraniidae_Dyseriocrania_subpurpurella_INSbusTBDRAAPEI__79",226482,803
"13",5,"Hepialidae","Hepialoidea_Hepialidae_Phymatopus_californicus_Phm",693825,1640
"14",5,"Lophocoronidae","Lophocoronoidea_Lophocoronidae_Lophocorona_astipica_Loas",693825,1640
"15",5,"Outgroup","Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX",693825,1640
"16",6,"Nepticulidae","Nepticuloidea_Nepticulidae_Nepticulinae_Stigmella_atricapitella_ANIsrmTAAWRAAPEI__225",100857,297
"17",6,"Opostegidae","Nepticuloidea_Opostegidae_Oposteginae_Pseudopostega_cf.quadristrigella_Pqd",100857,297
"18",6,"Outgroup","Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX",100857,297
"19",7,"Adelidae","Adeloidea_Adelidae_Adelinae_Nemophora_degeerella_INShauTABRAAPEI__93",281691,929
"20",7,"Prodoxidae","Adeloidea_Prodoxidae_Tegeticula_yuccasella_Tyu4",281691,929
"21",7,"Outgroup","Andesianoidea_Andesianidae_Andesiana_lamellata_RINSinlTEARAAPEI__62",281691,929
"22",8,"Tineidae","Tineoidea_Tineidae_Tineinae_Tineola_bisselliella_INSswpTACRAAPEI__13",1712559,2020
"23",8,"Dryadaulidae","Tineoidea_Dryadaulidae_Dryadaula_visaliella_Dry",1712559,2020
"24",8,"Outgroup","Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX",1712559,2020
"25",9,"Plutellidae","Yponomeutoidea_Plutellidae_Plutella_xylostella",389118,1012
"26",9,"Yponomeutidae","Yponomeutoidea_Yponomeutidae_Yponomeutinae_Yponomeuta_evonymellus_INShauTBFRAAPEI__34",389118,1012
"27",9,"Outgroup","Gracillarioidea_Roeslerstammiidae_Amphithera_heteroleuca_INSpmbTAHRAAPEI__206",389118,1012
"28",10,"Bucculatricidae","Gracillarioidea_Bucculatricidae_Bucculatrix_cristatella_ANIsrmTAASRAAPEI__220",211947,716
"29",10,"Lyonetiidae","Yponomeutoidea_Lyonetiidae_Cemiostominae_Leucoptera_coffeella_RINysjTAAAARAAPEI__214",211947,716
"30",10,"Outgroup","Gracillarioidea_Gracillariidae_Acrocercopinae_Acrocercops_transecta",211947,716
"31",11,"Urodidae","Urodoidea_Urodidae_Urodus_decens_Ur2",1260456,1789
"32",11,"Choreutidae","Choreutoidea_Choreutidae_Choreutinae_Hemerophila_diva_Cor5",1260456,1789
"33",11,"Outgroup","Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX",1260456,1789
"34",12,"Tortricidae","Tortricoidea_Tortricidae_Olethreutinae_Phaecasiophora_niveiguttana_Cro",1845501,2036
"35",12,"Immidae","Immoidea_Immidae_Imma_tetrascia_Imm",1845501,2036
"36",12,"Outgroup","Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX",1845501,2036
"37",13,"Lacturidae","Zygaenoidea_Lacturidae_Lactura_subfervens_Sub",1378887,1918
"38",13,"Zygaenidae","Zygaenoidea_Zygaenidae_Zygaeninae_Zygaena_fausta_INSjdsTAWRAAPEI__39",1378887,1918
"39",13,"Outgroup","Zygaenoidea_Limacodidae_Demonarosa_rufotessellata_RINSinlTDXRAAPEI__56",1378887,1918
"40",14,"Dalceridae","Zygaenoidea_Dalceridae_Dalcerinae_Dalcera_abrasa_FG120035",1134189,1711
"41",14,"Limacodidae","Zygaenoidea_Limacodidae_Demonarosa_rufotessellata_RINSinlTDXRAAPEI__56",1134189,1711
"42",14,"Outgroup","Zygaenoidea_Megalopygidae_Megalopyge_crispata_Lag",1134189,1711
"43",15,"Hesperiidae","Papilionoidea_Hesperiidae_Hesperiinae_Thymelicus_sylvestris",1073286,1694
"44",15,"Hesperiidae","Papilionoidea_Hesperiidae_Hesperiinae_Lerema_accius",1073286,1694
"45",15,"Hedylidae","Papilionoidea_Hedylidae_Macrosoma_sp_RINSinlTEBRAAPEI__71",1073286,1694
"46",15,"Hedylidae","Papilionoidea_Hedylidae_Macrosoma_sp_FG120122",1073286,1694
"47",15,"Outgroup","Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX",1073286,1694
"48",16,"Lycaenidae","Papilionoidea_Lycaenidae_Aphnaeinae_Cigaritis_takanonis_Papilionoidea",1534908,1998
"49",16,"Lycaenidae","Papilionoidea_Lycaenidae_Polyommatinae_Polyommatus_icarus_INShauTBGRAAPEI__35",1534908,1998
"50",16,"Riodinidae","Papilionoidea_Riodinidae_Riodininae_Mycastor_nealces_INSerlTBMRAAPEI__57",1534908,1998
"51",16,"Riodinidae","Papilionoidea_Riodinidae_Riodininae_Semomesia_capanea_FG120077",1534908,1998
"52",16,"Outgroup","Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX",1534908,1998
"53",17,"Autostichidae","Gelechioidea_Autostichidae_Autostichinae_Autosticha_sp_RINSinlTDTRAAPEI__41",808026,1376
"54",17,"Cosmopterigidae","Gelechioidea_Cosmopterigidae_Cosmopteriginae_Hyposmocoma_kahamanoa_RINysjTAAABRAAPEI__215",808026,1376
"55",17,"Outgroup","Gelechioidea_Gelechiidae_Dichomeridinae_Dichomeris_punctidiscella_Dch",808026,1376
"56",18,"Pterophoridae","Pterophoroidea_Pterophoridae_Pterophorinae_Emmelina_monodactyla_Emm",1384476,1841
"57",18,"Alucitidae","Alucitoidea_Alucitidae_Alucita_desmodactyla_ANIsrmTAAORAAPEI__215",1384476,1841
"58",18,"Outgroup","Thyridoidea_Thyrididae_Striglinae_Striglina_suzukii_Ssk",1384476,1841
"59",19,"Thyrididae","Thyridoidea_Thyrididae_Striglinae_Striglina_suzukii_Ssk",960603,1504
"60",19,"Callidulidae","Calliduloidea_Callidulidae_Callidulinae_Pterodecta_felderi_INSerlTABRAAPEI__84",960603,1504
"61",19,"Outgroup","Pterophoroidea_Pterophoridae_Pterophorinae_Emmelina_monodactyla_Emm",960603,1504
"62",20,"Crambidae","Pyraloidea_Crambidae_Crambinae_Catoptria_oregonicus_Cr4",2089881,2097
"63",20,"Crambidae","Pyraloidea_Crambidae_Crambinae_Catoptria_falsella_INSlupTAXRAAPEI__11",2089881,2097
"64",20,"Crambidae","Pyraloidea_Crambidae_Spilomelinae_Cnaphalocrocis_medinalis_SRR64791",2089881,2097
"65",20,"Pyralidae","Pyraloidea_Pyralidae_Galleriinae_Galleria_melonella_Gal",2089881,2097
"66",20,"Pyralidae","Pyraloidea_Pyralidae_Amyelois_transitella_Pyraloidea",2089881,2097
"67",20,"Pyralidae","Pyraloidea_Pyralidae_Phycitinae_Plodia_interpunctella",2089881,2097
"68",20,"Outgroup","Bombycoidea_Bombycidae_Bombyx_mori_BMORI",2089881,2097
"69",21,"Drepanidae","Drepanoidea_Drepanidae_Thyatirinae_Pseudothyatira_cymatophoroides_Pc",1753647,2007
"70",21,"Doidae","Drepanoidea_Doidae_Doa_sp_Do2",1753647,2007
"71",21,"Outgroup","Drepanoidea_Cimeliidae_Axia_margarita_Ax",1753647,2007
"72",22,"Nolidae","Noctuoidea_Nolidae_Nolinae_Manoba_major_SW130224",609900,1298
"73",22,"Euteliidae","Noctuoidea_Euteliidae_Anigraea_sp_SW130103",609900,1298
"74",22,"Outgroup","Noctuoidea_Noctuidae_Noctuinae_Spodoptera_frugiperda",609900,1298
"75",23,"Epicopeiidae","Geometroidea_Epicopeiidae_Epicopeia_hainseii_Epc3",1524576,1953
"76",23,"Sematuridae","Geometroidea_Sematuridae_Sematurinae_Mania_lunus_INSerlTAWRABPEI__19",1524576,1953
"77",23,"Outgroup","Geometroidea_Geometridae_Geometrinae_Chlorosea_margaretaria_Chl",1524576,1953
"78",24,"Geometridae","Geometroidea_Geometridae_Geometrinae_Chlorosea_margaretaria_Chl",1815552,2048
"79",24,"Geometridae","Geometroidea_Geometridae_Ennominae_Biston_betularia_Bb",1815552,2048
"80",24,"Uraniidae","Geometroidea_Uraniidae_Uraniinae_Lyssa_zampa_RINSinlTDLRAAPEI__126",1815552,2048
"81",24,"Uraniidae","Geometroidea_Uraniidae_Epipleminae_Calledapteryx_dryopterata_Cal",1815552,2048
"82",24,"Outgroup","Geometroidea_Epicopeiidae_Epicopeia_hainseii_Epc3",1815552,2048
"83",25,"Eupterotidae","Bombycoidea_Eupterotidae_Eupterotinae_Ganisa_similis_RINSinlTDMRAAPEI__136",474765,1046
"84",25,"Brahmaeidae","Bombycoidea_Brahmaeidae_Brahmaea_hearseyi_RINSinlTDQRAAPEI__35",474765,1046
"85",25,"Outgroup","Bombycoidea_Bombycidae_Apatelodes_pithala_FG120036B",474765,1046
"86",26,"Sphingidae","Bombycoidea_Sphingidae_Sphinginae_Sphinx_pinastri_INShauTAZRAAPEI__20",1999593,2094
"87",26,"Sphingidae","Bombycoidea_Sphingidae_Macroglossinae_Darapsa_myron_Dara",1999593,2094
"88",26,"Sphingidae","Bombycoidea_Sphingidae_Sphinginae_Ceratomia_undulosa_cunda3",1999593,2094
"89",26,"Sphingidae","Bombycoidea_Sphingidae_Smerinthinae_Adhemarius_daphne_FG120049B",1999593,2094
"90",26,"Sphingidae","Bombycoidea_Sphingidae_Macroglossinae_Enyo_lugubris_elug1",1999593,2094
"91",26,"Saturniidae","Bombycoidea_Saturniidae_Oxyteninae_Therinia_lactucina_FG120016",1999593,2094
"92",26,"Saturniidae","Bombycoidea_Saturniidae_Ceratocampinae_Eacles_sp_FG120096B",1999593,2094
"93",26,"Saturniidae","Bombycoidea_Saturniidae_Saturniinae_Attacus_atlas_Attac",1999593,2094
"94",26,"Saturniidae","Bombycoidea_Saturniidae_Saturniinae_Saturnia_pyri_INShkeTACRAAPEI__87",1999593,2094
"95",26,"Saturniidae","Bombycoidea_Saturniidae_Saturniinae_Actias_luna_acti2",1999593,2094
"96",26,"Outgroup","Bombycoidea_Bombycidae_Bombyx_mori_BMORI",1999593,2094
