"","Genus_first...1","Genus_last...2","Genus_first...3","Genus_last...4","Pair_no","blen_first","blen_last","dN_first","dN_last","dS_first","dS_last","N_spp_first","N_spp_last","Pair_age","Hosts_pgen_first","Hosts_pgen_last","Hosts_mean_first","Hosts_mean_last","Host_families_first","Host_families_last","Host_species_first","Host_species_last","Hosts_pd_first","Hosts_pd_last"
"1","Potamanaxas","Mylon","Potamanaxas","Mylon",1,0.03339,0.029291,0.002719,0.004973,0.118479,0.093895,29,15,11.0787732730699,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2","Gorgythion","Chiomara","Gorgythion","Chiomara",2,0.028202,0.036537,0.002629,0.00587,0.105421,0.119802,8,11,10.118685937636,NA,0.75,NA,2.25,NA,3,NA,7,0,85.555555
"3","Timochares","Camptopleura","Timochares","Camptopleura",3,0.041193,0.020168,0.003227,0.00168,0.136236,0.071637,4,6,10.547098494589,0,0.5,1,1.5,1,1,1,2,2.533161,0
"4","Cycloglypha","Ebrietas","Cycloglypha","Ebrietas",4,0.033691,0.029114,0.003088,0.001558,0.106117,0.099324,7,10,9.37296230221927,0.5,NA,2,NA,3,NA,4,NA,0,0
"5","Achlyodes","Aethilla","Achlyodes","Aethilla",5,0.033314,0.053047,0.004113,0.00721,0.111624,0.168588,12,10,14.778048334404,0.75,NA,4.75,NA,1,NA,12,NA,24.521306,0
"6","Pyrgus","Heliopetes","Pyrgus","Heliopetes",6,0.031774,0.037192,0.001726,0.003517,0.114002,0.126808,82,17,10.5968831707821,0.666666666666667,0.8,7.16666666666667,6.8,4,3,71,31,208.136365,122.471528
"7","Staphylus","Pholisora","Staphylus","Pholisora",7,0.044788,0.033464,0.001684,0.001259,0.159051,0.11743,52,4,11.6998538473223,0.75,1,3,9,3,4,10,15,37.54292,133.830082
"8","Jemadia","Mimoniades","Jemadia","Mimoniades",11,0.029234,0.025679,0.002984,0.004287,0.109842,0.091185,11,12,10.139908303963,0,0,1,1,1,1,1,1,0,0
"9","Sarbia","Mysoria","Sarbia","Mysoria",12,0.020002,0.047067,0.003425,0.00447,0.061932,0.159788,9,11,8.25619689554198,NA,1,NA,3,NA,1,NA,3,0,7.011891
"10","Sarangesa","Eretis","Sarangesa","Eretis",13,0.059301,0.047781,0.014387,0.005191,0.186656,0.176023,38,14,19.804920251719,0.666666666666667,0.666666666666667,2,4.33333333333333,1,1,5,9,0,1.280702
"11","Tagiades","Daimio","Tagiades","Daimio",14,0.058583,0.052431,0.005514,0.007682,0.214337,0.184642,82,19,18.9664519650694,0.4,1,2.2,4,4,3,15,4,144.342592,28.074074
"12","Nascus","Phocides","Nascus","Phocides",15,0.045517,0.044263,0.003005,0.002575,0.169728,0.163438,7,17,14.7564357435074,0.333333333333333,0.333333333333333,1.66666666666667,4,2,2,5,12,0,73.637629
"13","Polygonus","Telemiades","Polygonus","Telemiades",16,0.033986,0.045057,0.003468,0.004527,0.123301,0.16162,6,24,13.5039742933503,1,0.666666666666667,4,2,1,1,8,4,24.64118,0
"14","Thorybes","Urbanus","Thorybes","Urbanus",17,0.016535,0.019975,0.001383,0.001382,0.057478,0.070706,11,39,6.45016328146488,0.6,0.636363636363636,9.8,5.72727272727273,1,5,41,48,228.37794,437.515238
"15","Metisella","Carterocephalus","Metisella","Carterocephalus",18,0.078771,0.066118,0.007647,0.005197,0.26153,0.238467,37,29,20.6438054655094,0.166666666666667,1,1.66666666666667,4.5,1,1,8,7,0,53.172559
"16","Piruna","Dardarina","Piruna","Dardarina",19,0.068709,0.075193,0.005472,0.005486,0.243013,0.271478,17,11,21.7355467648838,0,NA,1,NA,1,NA,1,NA,0,0
"17","Toxidia","Neohesperilla","Toxidia","Neohesperilla",20,0.01667,0.038313,0.000448,0.003142,0.06079,0.117831,10,4,8.32828504584481,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"18","Motasingha","Hesperilla","Motasingha","Hesperilla",21,0.023389,0.029924,0.002842,0.004274,0.075409,0.091465,2,13,10.4330381981781,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"19","Mesodina","Antipodia","Mesodina","Antipodia",22,0.067764,0.03289,0.008532,0.005284,0.2281,0.108621,5,3,16.2539568560209,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"20","Halpe","Thoressa","Halpe","Thoressa",23,0.061694,0.045892,0.008065,0.006237,0.217933,0.157082,49,23,17.3542729267335,0.166666666666667,0,1.16666666666667,1,1,1,4,2,19.955387,0
"21","Meza","Pardaleodes","Meza","Pardaleodes",24,0.07097,0.059095,0.007666,0.005915,0.273413,0.227856,13,9,23.5834494731904,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"22","Osmodes","Platylesches","Osmodes","Platylesches",25,0.087387,0.069068,0.007679,0.00619,0.350092,0.269365,14,20,26.326455832265,1,0,2,1,1,1,2,1,1.633987,0
"23","Paronymus","Fresna","Paronymus","Fresna",26,0.037786,0.056394,0.002729,0.003974,0.135788,0.208849,4,4,15.7092786090922,NA,0.333333333333333,NA,1.33333333333333,NA,2,NA,4,0,0
"24","Suastus","Plastingia","Suastus","Plastingia",27,0.078718,0.090746,0.008725,0.006099,0.245738,0.306066,13,7,21.0441022369024,0.5,0,7.5,1,3,1,15,1,160.003334,0
"25","Ancistroides","Notocrypta","Ancistroides","Notocrypta",29,0.044197,0.047532,0.002475,0.005445,0.163773,0.170044,11,35,14.585422327456,0.5,1,3,7,1,3,5,18,11.772672,60.965238
"26","Orses","Perichares","Orses","Perichares",30,0.02575,0.020279,0.002531,0.001309,0.087955,0.076479,2,17,9.6760385187298,0,1,1,15,1,2,2,15,0,142.047979
"27","Megathymus","Agathymus","Megathymus","Agathymus",31,0.017634,0.02026,0.002102,0.001027,0.054573,0.085994,18,33,7.54332617322525,1,0.444444444444444,8.2,1.66666666666667,1,1,26,10,30.948381,12.204815
"28","Saliana","Calpodes","Saliana","Calpodes",32,0.021027,0.019606,0.000548,0.002047,0.067915,0.063752,22,1,7.80605332596307,0,1,1,16,2,9,2,16,0,103.041267
"29","Pyrrhopygopsis","Tromba","Pyrrhopygopsis","Tromba",33,0.041274,0.03005,0.00339,0.002431,0.155438,0.108997,8,2,12.0685129363549,1,NA,5,NA,1,NA,5,NA,24.207777,0
"30","Aides","Thracides","Aides","Thracides",34,0.046435,0.052649,0.003013,0.008842,0.185427,0.183962,9,13,15.3317570542175,0.333333333333333,0.4,1.66666666666667,2,1,6,5,10,29.043982,55.593123
"31","Hansa","Lindra","Hansa","Lindra",35,0.034744,0.033147,0.003354,0.003345,0.113565,0.107853,4,7,13.4942035485816,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"32","Stinga","Poanes","Stinga","Poanes",36,0.028481,0.015883,0.003133,0.001033,0.07939,0.056946,1,15,8.15180796010655,NA,0.5,NA,3.83333333333333,NA,2,NA,22,0,277.4863
"33","Conga","Nyctelius","Conga","Nyctelius",37,0.020414,0.018351,0.001726,0.001727,0.074799,0.066823,6,3,7.1349842994664,0,1,1,7,1,1,1,7,0,98.872054
"34","Hesperia","Pseudocopaeodes","Hesperia","Pseudocopaeodes",38,0.024084,0.024852,0.003008,0.003013,0.081853,0.083348,42,2,9.06962012470642,1,0,5.23529411764706,1,3,1,57,1,731.263783,25.097643
"35","Corticea","Anthoptus","Corticea","Anthoptus",39,0.029315,0.031248,0.002869,0.002451,0.102789,0.115276,12,5,9.70194506912533,0,NA,1,NA,1,NA,1,NA,1.769153,0
"36","Halotus","Mucia","Halotus","Mucia",41,0.03068,0.029214,0.00396,0.001921,0.090984,0.094561,2,3,8.26531489525807,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"37","Saturnus","Parphorus","Saturnus","Parphorus",42,0.021281,0.022226,0.001371,0.003276,0.087877,0.082071,10,15,6.95039103658514,NA,0,NA,1,NA,1,NA,1,0,0
"38","Cymaenes","Vidius","Cymaenes","Vidius",43,0.01108,0.008982,4e-06,0.002037,0.044569,0.029548,36,12,3.58777866395133,0.666666666666667,NA,3.33333333333333,NA,2,NA,8,NA,52.834175,0
"39","Mnasilus","Papias","Mnasilus","Papias",44,0.029552,0.023098,0.00225,0.003902,0.1005,0.07419,2,12,7.57252730765035,0,0,1,1,1,1,1,1,0,0
"40","Lerodea","Monca","Lerodea","Monca",45,0.039402,0.036973,0.003456,0.003029,0.129856,0.125143,19,6,8.71206886289834,1,0,16,1,3,1,16,1,282.327442,0
"41","Ixias","Eronia","Ixias","Eronia",46,0.07911,0.072086,0.005157,0.004104,0.340253,0.277641,39,2,23.1285887638985,1,1,4.5,2.5,1,2,8,3,3.598291,1
"42","Zegris","Euchloe","Zegris","Euchloe",48,0.024399,0.033665,0.001249,0.002525,0.093527,0.124727,14,60,10.4534387554635,0,1,1,10.1428571428571,1,2,1,57,0,163.487913
"43","Baltia","Pontia","Baltia","Pontia",49,0.030608,0.045547,0.003807,0.002058,0.109891,0.18534,6,21,16.7806570562311,NA,1,NA,21.3333333333333,NA,5,NA,89,0,302.007574
"44","Belenois","Dixeia","Belenois","Dixeia",50,0.092501,0.083468,0.004267,0.003162,0.357376,0.344022,84,32,28.0657422717794,0.733333333333333,0.2,3.73333333333333,1.2,5,1,22,2,69.417003,2.633959
"45","Cepora","Prioneris","Cepora","Prioneris",51,0.065347,0.054667,0.005276,0.003758,0.289192,0.232887,117,17,29.6758633995217,0.857142857142857,0.5,4.57142857142857,1.75,2,1,17,5,34.326395,1.62037
"46","Delias","Leuciacria","Delias","Leuciacria",52,0.045734,0.041516,0.004358,0.006176,0.184971,0.162436,451,1,15.4868774478075,0.714285714285714,NA,5.42857142857143,NA,17,NA,51,NA,347.635558,0
"47","Anteros","Helicopis","Anteros","Helicopis",54,0.068587,0.072784,0.01232,0.008358,0.266125,0.333773,25,38,27.212420546534,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"48","Riodina","Notheme","Riodina","Notheme",55,0.035461,0.045225,0.002455,0.003885,0.136476,0.171837,10,4,15.5050828983111,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"49","Panara","Chorinea","Panara","Chorinea",56,0.027542,0.024031,0.002509,0.001422,0.106049,0.098098,12,11,11.4103439996094,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"50","Euphaedra","Bebearia","Euphaedra","Bebearia",58,0.031428,0.032681,0.005337,0.00405,0.112136,0.126323,190,68,16.4318458797515,0.571428571428571,0.625,2.80952380952381,2.25,6,5,26,15,109.151119,68.000833
"51","Aterica","Euriphene","Aterica","Euriphene",59,0.037885,0.020095,0.004336,0.001853,0.1379,0.078963,10,110,9.88890690359995,1,0.5,9,1.5,4,2,9,2,0,0
"52","Eueides","Heliconius","Eueides","Heliconius",60,0.043161,0.037695,0.002819,0.003214,0.156611,0.134603,57,486,15.4368625572417,0.777777777777778,0.694444444444444,6.77777777777778,6.44444444444444,4,1,40,93,104.294527,239.868595
"53","Hestina","Euripus","Hestina","Euripus",62,0.019817,0.034792,0.002431,0.002687,0.071525,0.145544,23,23,10.553183579607,0.666666666666667,1,3.33333333333333,2,2,2,8,3,19.878168,4.216667
"54","Biblis","Vila","Biblis","Vila",64,0.016073,0.017949,0.002909,0.001151,0.050437,0.069138,4,10,9.88512317122911,1,NA,4,NA,2,NA,4,NA,0.408249,0
"55","Mestra","Archimestra","Mestra","Archimestra",65,0.052891,0.040514,0.00474,0.005044,0.188533,0.138203,14,1,14.760544227562,0.25,NA,2,NA,1,NA,6,NA,0.408249,0
"56","Mesoxantha","Neptidopsis","Mesoxantha","Neptidopsis",66,0.036958,0.040596,0.002943,0.00361,0.147574,0.159294,5,4,9.99882703251347,1,0.666666666666667,2,2,1,1,2,5,0,0
"57","Batesia","Panacea","Batesia","Panacea",67,0.026926,0.010166,0.006534,0.001135,0.08166,0.038933,4,14,8.66561342621249,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"58","Diaethria","Perisama","Diaethria","Perisama",69,0.01896,0.017459,0.001613,0.002913,0.074969,0.061856,59,99,6.94279083300597,0.5,NA,2,NA,3,NA,8,NA,49.667755,0
"59","Chersonesia","Cyrestis","Chersonesia","Cyrestis",70,0.087668,0.073629,0.007613,0.007359,0.278273,0.232684,15,116,27.5255085076511,1,0.571428571428571,3.5,5.85714285714286,1,2,6,37,66.793011,337.438618
"60","Symbrenthia","Mynes","Symbrenthia","Mynes",71,0.0711,0.060588,0.004648,0.008872,0.286346,0.217347,56,36,19.015252108411,1,1,5,3,1,1,12,3,25.309567,0
"61","Metamorpha","Anartia","Metamorpha","Anartia",73,0.059932,0.071288,0.006086,0.006406,0.210258,0.253144,2,20,21.1820479891766,0,0.6,1,7.8,1,6,1,28,0,141.139988
"62","Anetia","Lycorea","Anetia","Lycorea",74,0.023438,0.024567,0.004991,0.00328,0.077076,0.085316,7,29,12.0823559137019,0.5,0.666666666666667,1.5,6.33333333333333,2,6,3,14,0,226.070043
"63","Idea","Euploea","Idea","Euploea",75,0.024714,0.027152,0.000916,0.001658,0.097209,0.098901,75,580,10.342015968185,0.428571428571429,0.791666666666667,1.71428571428571,6.75,2,9,8,103,40.702592,604.277757
"64","Caerois","Morpho","Caerois","Morpho",76,0.08353,0.082751,0.008068,0.005969,0.370341,0.383078,4,286,29.0826280583645,NA,0.8125,NA,4.5,NA,17,NA,52,0,295.167014
"65","Amathusia","Amathuxidia","Amathusia","Amathuxidia",77,0.017842,0.026758,0.001191,0.002982,0.069094,0.093845,44,14,9.16504442245225,0.666666666666667,NA,5.33333333333333,NA,2,NA,13,NA,49.530279,0
"66","Paratisiphone","Tisiphone","Paratisiphone","Tisiphone",78,0.045333,0.047824,0.004583,0.003897,0.161886,0.172253,1,2,26.3249786589192,0,1,1,3.5,1,2,1,6,0,0
